
[INFO ] 11-06-2021 01:06:38.453 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 12.0.2 on DESKTOP-84KJ5PI with PID 4256 (C:\Users\98918\Desktop\test\mapsaproject\target\classes started by 98918 in C:\Users\98918\Desktop\test\mapsaproject)
[INFO ] 11-06-2021 01:06:38.457 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
[INFO ] 11-06-2021 09:00:08.547 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 11220 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 11-06-2021 09:00:08.553 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 11-06-2021 09:00:17.510 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 10.029 seconds (JVM running for 12.277)
[INFO ] 11-06-2021 09:14:00.682 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 11736 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 11-06-2021 09:14:00.688 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 11-06-2021 09:14:09.249 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 9.676 seconds (JVM running for 11.558)
[INFO ] 11-06-2021 09:16:38.803 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 15640 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 11-06-2021 09:16:38.813 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 11-06-2021 09:16:47.852 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 10.221 seconds (JVM running for 12.604)
[INFO ] 11-06-2021 09:26:27.924 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 11168 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 11-06-2021 09:26:27.924 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 11-06-2021 09:26:35.446 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 8.387 seconds (JVM running for 11.176)
[INFO ] 11-06-2021 09:28:35.392 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 7980 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 11-06-2021 09:28:35.392 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 11-06-2021 09:28:42.901 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 8.634 seconds (JVM running for 10.482)
[INFO ] 11-06-2021 10:35:13.310 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 14224 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 11-06-2021 10:35:13.316 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 11-06-2021 10:35:21.548 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 9.402 seconds (JVM running for 11.403)
[INFO ] 12-06-2021 02:00:11.784 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 15308 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 12-06-2021 02:00:11.790 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 12-06-2021 02:00:21.235 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 10.781 seconds (JVM running for 13.972)
[INFO ] 12-06-2021 03:49:03.417 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 15420 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 12-06-2021 03:49:03.422 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 12-06-2021 03:49:11.953 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 9.722 seconds (JVM running for 11.778)
[INFO ] 14-06-2021 04:09:40.610 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 16.0.1 on asus with PID 8652 (E:\Mr-dodange\halletamrin\3onlineshop\mapsaproject\target\classes started by asadi in E:\Mr-dodange\halletamrin\3onlineshop\mapsaproject)
[INFO ] 14-06-2021 04:09:40.643 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
[INFO ] 14-06-2021 04:09:44.953 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 5.23 seconds (JVM running for 6.578)
[INFO ] 14-06-2021 04:16:45.311 PM [http-nio-8080-exec-2]  c.m.onlineShop.controller.SampleLogerController - The product added to Brand
[INFO ] 14-06-2021 04:47:34.117 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 16.0.1 on asus with PID 6516 (E:\Mr-dodange\halletamrin\3onlineshop\mapsaproject\target\classes started by asadi in E:\Mr-dodange\halletamrin\3onlineshop\mapsaproject)
[INFO ] 14-06-2021 04:47:34.119 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
[INFO ] 14-06-2021 04:47:37.558 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 3.792 seconds (JVM running for 4.357)
[INFO ] 14-06-2021 04:51:45.776 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 16.0.1 on asus with PID 3008 (E:\Mr-dodange\halletamrin\3onlineshop\mapsaproject\target\classes started by asadi in E:\Mr-dodange\halletamrin\3onlineshop\mapsaproject)
[INFO ] 14-06-2021 04:51:45.778 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
[INFO ] 14-06-2021 04:51:49.265 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 3.836 seconds (JVM running for 4.407)
[INFO ] 14-06-2021 04:56:07.323 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 16.0.1 on asus with PID 8160 (E:\Mr-dodange\halletamrin\3onlineshop\mapsaproject\target\classes started by asadi in E:\Mr-dodange\halletamrin\3onlineshop\mapsaproject)
[INFO ] 14-06-2021 04:56:07.325 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
[INFO ] 14-06-2021 04:56:10.781 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 3.818 seconds (JVM running for 4.395)
[INFO ] 14-06-2021 05:09:58.048 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 16.0.1 on asus with PID 10024 (E:\Mr-dodange\halletamrin\3onlineshop\mapsaproject\target\classes started by asadi in E:\Mr-dodange\halletamrin\3onlineshop\mapsaproject)
[INFO ] 14-06-2021 05:09:58.050 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - No active profile set, falling back to default profiles: default
[INFO ] 14-06-2021 05:10:01.466 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 3.775 seconds (JVM running for 4.396)
[INFO ] 12-06-2021 06:05:57.020 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 15572 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 12-06-2021 06:05:57.027 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 12-06-2021 06:06:06.070 PM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 10.196 seconds (JVM running for 11.992)
[INFO ] 13-06-2021 03:23:03.406 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 3000 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
[INFO ] 13-06-2021 03:23:03.411 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - The following profiles are active: Farshad
[INFO ] 13-06-2021 03:23:12.460 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Started OnlineShopApplication in 10.349 seconds (JVM running for 13.741)
[INFO ] 13-06-2021 03:27:37.411 AM [main]  com.mapsaProject.onlineShop.OnlineShopApplication - Starting OnlineShopApplication using Java 1.8.0_45 on DESKTOP-EUKBLH3 with PID 9100 (C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject\target\classes started by fhasa in C:\uiiii\Java Learning\Mapsa\Bootcamp\Public Project\mapsaproject)
